source,snapshot_day,unique_indicators,unique_ips_cidrs,unique_domains_urls,additions,removals,raw_rows
FireHOL,2026-09-16,23763,23763,0,NA,NA,36454
FireHOL,2026-09-17,20990,20990,0,6253,9026,20990
FireHOL,2026-09-20,25252,25252,0,16993,12731,25252
FireHOL,2026-09-21,18222,18222,0,5356,12386,18222
FireHOL,2026-09-22,18563,18563,0,6768,6427,18563
FireHOL,2026-09-23,19134,19134,0,5292,4721,19134
Spamhaus DROP,2026-09-16,1724,1724,0,NA,NA,3440
Spamhaus DROP,2026-09-17,1714,1714,0,0,10,1715
Spamhaus DROP,2026-09-20,1711,1711,0,1,4,1712
Spamhaus DROP,2026-09-21,1715,1715,0,4,0,1716
Spamhaus DROP,2026-09-22,1711,1711,0,0,4,1712
Spamhaus DROP,2026-09-23,1711,1711,0,0,0,1712
blocklist.de,2026-09-16,27179,27179,0,NA,NA,51732
blocklist.de,2026-09-17,27563,27563,0,7474,7090,27563
blocklist.de,2026-09-20,32994,32994,0,17502,12071,32994
blocklist.de,2026-09-21,25508,25508,0,6350,13836,25508
blocklist.de,2026-09-22,26029,26029,0,4697,4176,26029
blocklist.de,2026-09-23,32743,32743,0,11154,4440,32743
